"dwc.preparations","freq"
"",687
"study skin",213
"mount",121
"skeleton",13
"Jaws",6
"skull",6
"jaw",3
"Mounted.",3
"Dried",2
"skeleton (mounted)",2
"[Nest not located at this time] Eggs",1
"bone",1
"mounted.",1
"Nest and Eggs",1
"Rostum",1
"Skull / mandible",1
"skull and mandible",1
"Skull with mandible",1
"sternum",1
"Teeth and Jaws",1
"tooth",1
"vertebra",1
