"Typestatus","Count"
"",207089
"paratype",5638
"holotype",1444
"syntype",372
"paralectotype",290
"lectotype",68
"type",33
"neotype",30
"holotype & paratype",21
"paratype?",8
"lectotype & paralectotype",4
"holotype?",3
"paratypes",2
"isotype",1
"syntype?",1
