"Typestatus","Count"
"",108087
"paratype(s)",5359
"holotype",875
"paratype(s)?",135
"cotype(s)",125
"syntype(s)",80
"ms paratype(s)",65
"paralectotype(s)",32
"holotype?",14
"lectotype(s)",10
"ms holotype",10
"neotype",8
"ms paratype(s)?",6
"syntype(s)?",6
"allotype(s)",4
"paralectotype(s)?",4
"paratype(s)/allotype(s)",3
"topotypes",3
"lectotype",2
"ms holotype?",2
"cotype(s)?",1
"holotype/para*",1
"ms lectotype(s)",1
"ms paralectotype(s)",1
"neoallotype(s)",1
"paratopotype(s)",1
"topotype",1
