"Family","Count"
"melanocetidae",13
"adrianichthyidae",12
"hemiscylliidae",12
"lamnidae",12
"neoceratodontidae",12
"somniosidae",12
"squatinidae",12
"aulorhynchidae",11
"bramidae",11
"nemichthyidae",11
"salangidae",11
"torpedinidae",11
"anarhichadidae",10
"aulopidae",10
"centracanthidae",10
"ceratiidae",10
"hoplichthyidae",10
"lateolabracidae",10
"lepidosirenidae",10
"melanonidae",10
"protopteridae",10
"samaridae",10
"amblycipitidae",9
"aphyonidae",9
"citharinidae",9
"eurypharyngidae",9
"gonorynchidae",9
"pristolepididae",9
"rhamphocottidae",9
"bembridae",8
"dalatiidae",8
"ereuniidae",8
"eucnemidae",8
"galeidae",8
"hapalogenyidae",8
"heteropneustidae",8
"linophrynidae",8
"malapteruridae",8
"odontaspididae",8
"triacanthidae",8
"badidae",7
"callanthiidae",7
"chironemidae",7
"neosebastidae",7
"rhinochimaeridae",7
"solenostomidae",7
"trachipteridae",7
"ariommatidae",6
"callorhinchidae",6
"champsodontidae",6
"creediidae",6
"draconettidae",6
"enoplosidae",6
"narkidae",6
"oneirodidae",6
"ophicephalidae",6
"anomalopidae",5
"anoplopomatidae",5
"aracanidae",5
"arhynchobatidae",5
"bathymasteridae",5
"bedotiidae",5
"cetomimidae",5
"channichthyidae",5
"datnioididae",5
"derichthyidae",5
"emmelichthyidae",5
"gibberichthyidae",5
"hepsetidae",5
"heterenchelyidae",5
"latimeriidae",5
"opisthoproctidae",5
"psettodidae",5
"scomberesocidae",5
"trachinidae",5
"trichodontidae",5
"abyssocottidae",4
"alopiidae",4
"anacanthobatidae",4
"argidae",4
"caristiidae",4
"centrogenyidae",4
"cyematidae",4
"gobiomyidae",4
"helogeneidae",4
"helostomatidae",4
"hexanchidae",4
"hypoptychidae",4
"malacosteidae",4
"molidae",4
"notacanthidae",4
"orectolobidae",4
"pantodontidae",4
"platytroctidae",4
"rhincodontidae",4
"stegostomatidae",4
"trichonotidae",4
"xiphiidae",4
"anotopteridae",3
"chaudhuriidae",3
"diplomystidae",3
"galeorhinidae",3
"howellidae",3
"jacanidae",3
"lactariidae",3
"nematogenyidae",3
"odontobutidae",3
"parabembridae",3
"parascylliidae",3
"pegasidae",3
"pholidichthyidae",3
"pholididae",3
"psilorhynchidae",3
"ptilichthyidae",3
"scoloplacidae",3
"stylephoridae",3
"zygaenidae",3
"ageneiosidae",2
"barbourisiidae",2
"buccinidae",2
"canthigasteridae",2
"ceratodontidae",2
"chlamydoselachidae",2
"citharidae",2
"cottocomephoridae",2
"cryptacanthodidae",2
"dinematichthyidae",2
"engraulididae",2
"gigantactinidae",2
"himantolophidae",2
"homalometridae",2
"idiacanthidae",2
"inermiidae",2
"kneriidae",2
"kraemeriidae",2
"microstomatidae",2
"odacidae",2
"pataecidae",2
"pentacerotidae",2
"perciliidae",2
"periophthalmidae",2
"phractolaemidae",2
"polyprionidae",2
"pygidiidae",2
"rhyacichthyidae",2
"scombrolabracidae",2
"vaillantellidae",2
"banjosidae",1
"barbuccidae",1
"bathysauridae",1
"branchiostomidae",1
"carcharinid",1
"cetorhinidae",1
"clavelinidae",1
"comephoridae",1
"corellidae",1
"corophiidae",1
"cranoglanididae",1
"dentatherinidae",1
"denticipitidae",1
"diazonidae",1
"dinopercidae",1
"erethistidae",1
"glaucosomatidae",1
"gymnarchidae",1
"gyrinocheilidae",1
"harpagiferidae",1
"hypostominae",1
"icosteidae",1
"isonidae",1
"kurtidae",1
"lampridae",1
"leptochariidae",1
"leptochilichthyidae",1
"lophotidae",1
"luciocephalidae",1
"luvaridae",1
"macroramphosidae",1
"melanostomiidae",1
"menuridae",1
"mitsukurinidae",1
"mobulidae",1
"nematistiidae",1
"noctuidae",1
"notocheiridae",1
"nymphalidae",1
"olyridae",1
"plectrogeniidae",1
"pristiophoridae",1
"pseudocarchariidae",1
"pseudomugilidae",1
"pyuridae",1
"regalecidae",1
"rondeletiidae",1
"scombropidae",1
"scytalinidae",1
"stylophthalmidae",1
"triodontidae",1
"troodontidae",1
"xenisthmidae",1
