"Typestatus","Count"
"",227724
"paratypes",907
"paratype",787
"holotype",119
"paratopotypes",32
"paratopotype",12
"paralectotypes",10
"see remarks",8
"syntype",7
"topotypes",7
"allotype",4
"neotype",4
"syntypes",3
"paragenetypes",1
"topotype",1
