"Family","Count"
"scombrolabracidae",13
"trachinidae",13
"caristiidae",12
"hemitripteridae",12
"protopteridae",12
"arapaimidae",11
"heterenchelyidae",11
"schilbeidae",11
"sillaginidae",11
"plesiopidae",10
"polyodontidae",10
"ageneiosidae",9
"cepolidae",9
"channichthyidae",9
"cheilodactylidae",9
"echeneididae",9
"gibberichthyidae",9
"psilorhynchidae",9
"scomberesocidae",9
"scombropidae",9
"gigantactinidae",8
"inermiidae",8
"melanotaeniidae",8
"pinguipedidae",8
"polypteridae",8
"psychrolutidae",8
"scatophagidae",8
"urolophidae",8
"anablepidae",7
"emmelichthyidae",7
"helostomatidae",7
"lophotidae",7
"malacosteidae",7
"malapteruridae",7
"siganidae",7
"anoplopomatidae",6
"astroblepidae",6
"bathydraconidae",6
"drepaneidae",6
"erethistidae",6
"parodontidae",6
"rhinochimaeridae",6
"artedidraconidae",5
"bathymasteridae",5
"chanidae",5
"chaudhuriidae",5
"claroteidae",5
"galaxiidae",5
"gyrinocheilidae",5
"kneriidae",5
"muraenesocidae",5
"nemipteridae",5
"oxynotidae",5
"plotosidae",5
"polyprionidae",5
"samaridae",5
"zanclidae",5
"alestiidae",4
"astronesthidae",4
"berycidae",4
"cetorhinidae",4
"echinorhinidae",4
"hemiscylliidae",4
"heterodontidae",4
"lethrinidae",4
"muraenolepididae",4
"phallostethidae",4
"pristiophoridae",4
"pseudocarchariidae",4
"synanceiidae",4
"anarhichadidae",3
"aulorhynchidae",3
"caesionidae",3
"chirocentridae",3
"cyematidae",3
"datnioididae",3
"distichodontidae",3
"heteropneustidae",3
"narkidae",3
"oreosomatidae",3
"rhamphocottidae",3
"vaillantellidae",3
"xenisthmidae",3
"achiropsettidae",2
"anomalopidae",2
"barbourisiidae",2
"caracanthidae",2
"centracanthidae",2
"fabaceae",2
"harpagiferidae",2
"hemigaleidae",2
"kurtidae",2
"lampridae",2
"luvaridae",2
"pantodontidae",2
"parascylliidae",2
"percichthyidae",2
"pholidichthyidae",2
"polycentridae",2
"profundulidae",2
"pseudomugilidae",2
"tetrarogidae",2
"aploactinidae",1
"arripidae",1
"barbuccidae",1
"caulophrynidae",1
"centrophrynidae",1
"cheimarrichthyidae",1
"chlamydoselachidae",1
"cryptacanthodidae",1
"diplomystidae",1
"eleginopsidae",1
"hepsetidae",1
"hexatrygonidae",1
"hoplichthyidae",1
"latimeriidae",1
"leptochariidae",1
"menidae",1
"mitsukurinidae",1
"monocentridae",1
"monodactylidae",1
"nematistiidae",1
"odontobutidae",1
"oplegnathidae",1
"passandridae",1
"pegasidae",1
"pentacerotidae",1
"phractolaemidae",1
"psettodidae",1
"ptilichthyidae",1
"radiicephalidae",1
"retropinnidae",1
"saccopharyngidae",1
"scoloplacidae",1
"scytalinidae",1
"serpenticobitidae",1
"telmatherinidae",1
"tetragonuridae",1
"unknown",1
"zaproridae",1
