"dwc.scientificName","freq"
"Cyprinella lutrensis x venusta",37
"Dionda flavipinnis",37
"Etheostoma whipplei",37
"Peprilus burti",37
"Scorpaena plumieri",37
"Sphyraena guachancho",37
"Stellifer lanceolatus",37
"Syacium gunteri",37
"Chordata",36
"Ctenobrycon spilurus",36
"Cyclopsetta chittendeni",36
"Eucinostomus lefroyi",36
"Gerres cinereus",36
"Percina shumardi",36
"Abudefduf saxatilis",35
"Bryconamericus beta",35
"Cichlasoma nigrofasciatum",35
"Dasyatis sabina",35
"Hybopsis amnis",35
"Notropis bairdi",35
"Phallichthys amates",35
"Pseudocrenilabrus philander",35
"Caquetaia kraussii",34
"Marcusenius macrolepidotus",34
"Eleotris picta",33
"Histrio histrio",33
"Lutjanus campechanus",33
"Lutjanus griseus",33
"Rypticus maculatus",33
"Trachinotus falcatus",33
"Upeneus parvus",33
"Anchoa lyolepis",32
"Balistes capriscus",32
"Cyprinodon bifasciatus",32
"Cyprinodon eximius",32
"Erimyzon oblongus",32
"Tilapia aurea",32
"Alfaro cultratus",31
"Caranx latus",31
"Hemicaranx amblyrhynchus",31
"Lagocephalus laevigatus",31
"Ophichthus gomesii",31
"Pollimyrus castelnaui",31
"Stenotomus caprinus",31
"Amia calva",30
"Apistogramma hoignei",30
"Bagre marinus",30
"Centropomus undecimalis",30
"Cichlasoma dovii",30
"Cichlasoma orinocense",30
"Conodon nobilis",30
"Gymnotus carapo",30
"Halieutichthys aculeatus",30
"Hemichromis guttatus",30
"Pyrrhulina lugubris",30
"Scartella cristata",30
"Tilapia rendalli",30
"Barbus poechii",29
"Dionda",29
"Loricariichthys typus",29
"Narcine brasiliensis",29
"Trachurus lathami",29
"Brotula barbata",28
"Etheostoma spectabile x Percina caprodes",28
"Hippocampus erectus",28
"Hypostomus",28
"Lutjanus aya",28
"Peprilus paru",28
"Pimephales vigilax vigilax",28
"Sargochromis codringtonii",28
"Schilbe mystus",28
"Xiphophorus variatus",28
"Agonostomus monticola",27
"Aphyocharax alburnus",27
"Aplocheilichthys johnstonii",27
"Belonesox belizanus",27
"Cichlasoma citrinellum",27
"Cyprinodon variegatus x pecosensis",27
"Gobiesox strumosus",27
"Notropis volucellus nocomis",27
"Ochmacanthus alternus",27
"Oostethus lineatus",27
"Ophidion welshi",27
"Synodontis woosnami",27
"Bunocephalus amaurus",26
"Cichlasoma maculicauda",26
"Eigenmannia virescens",26
"Saurida brasiliensis",26
"Synodontis leopardinus",26
"Brachyrhaphis rhabdophora",25
"Gobiomorus maculatus",25
"Gymnothorax nigromarginatus",25
"Microglanis iheringi",25
"Micropterus",25
"Pomatomus saltatrix",25
"Rineloricaria caracasensis",25
"Aplocheilichthys hutereaui",24
"Aplocheilichthys katangae",24
"Barbus multilineatus",24
"Bryconamericus deuterodonoides",24
"Echeneis naucrates",24
"Eleotris pisonis",24
"Gambusia",24
"Hemigrammus marginatus",24
"Macrhybopsis storeriana",24
"Melaniris milleri",24
"Notropis amnis",24
"Pterygoplichthys multiradiatus",24
"Trogloglanis pattersoni",24
"Barbus annectens",23
"Bathygobius soporator",23
"Brycon guatemalensis",23
"Gambusia georgei",23
"Hoplunnis macrura",23
"Hypleurochilus geminatus",23
"Hypleurochilus multifilis",23
"Lutjanus synagris",23
"Markiana geayi",23
"Oreochromis mossambicus",23
"Poeciliopsis turrubarensis",23
"Pomadasys crocro",23
"Prionotus stearnsi",23
