"dwc.scientificName","freq"
"Oncorhynchus mykiss x Oncorhynchus clarkii",4
"Pantosteus commersonii x Pantosteus plebeius",4
"Percina maculata",4
"Percopsis omiscomaycus",4
"Salvelinus namaycush",4
"Sander canadensis",4
"Tinca tinca",4
"Ambloplites ariommus",3
"Carpiodes",3
"Centrarchidae",3
"Chaetodipterus faber",3
"Coregonus artedi",3
"Cottus carolinae",3
"Cyprinella analostana",3
"Esox niger",3
"Etheostoma asprigene",3
"Etheostoma caeruleum",3
"Etheostoma stigmaeum",3
"Etheostoma zonale",3
"Fundulus rathbuni",3
"Gambusia affinis x Poecilia reticulata",3
"Gambusia geiseri",3
"Hybognathus hayi",3
"Hybopsis winchelli",3
"Lepisosteus oculatus",3
"Lepomis macrochirus x Lepomis megalotis",3
"Morone saxatilis",3
"Mylocheilus caurinus",3
"Nocomis asper",3
"Notropis heterolepis",3
"Notropis texanus",3
"Oncorhynchus clarkii x Salmo gairdneri",3
"Opsopoeodus emiliae",3
"Percina phoxocephala",3
"Percina shumardi",3
"Phoxinus neogaeus",3
"Prochilodus rubrotaeniatus",3
"Pungitius pungitius",3
"Scaphirhynchus platorynchus",3
"Scartomyzon congestus",3
"Alosa pseudoharengus",2
"Ameiurus nebulosus",2
"Ammocrypta asprella",2
"Ammocrypta meridiana",2
"Campostoma anomalum x Rhinichthys cataractae",2
"Catostomus macrocheilus",2
"Catostomus tahoensis",2
"Centrarchus macropterus",2
"Chloroscombrus chrysurus",2
"Clupea harengus",2
"Cottus aleuticus",2
"Cyprinella callistia",2
"Cyprinella spiloptera",2
"Cyprinodon elegans",2
"Cyprinodon eximius",2
"Enneacanthus gloriosus",2
"Entosphenus appendix",2
"Esox americanus",2
"Etheostoma histrio",2
"Etheostoma maculatum",2
"Etheostoma olmstedi",2
"Etheostoma rufilineatum",2
"Etheostoma rupestre",2
"Etheostoma swaini",2
"Fundulus catenatus",2
"Fundulus diaphanus",2
"Gambusia affinis x Gambusia nobilis",2
"Gambusia gaigei",2
"Gila bicolor",2
"Gila purpurea",2
"Gymnachirus nudus",2
"Heterandria formosa",2
"Hypentelium etowanum",2
"Ichthyomyzon gagei",2
"Lactophrys quadricornis",2
"Lampetra japonica",2
"Lepomis punctatus",2
"Lucania goodei",2
"Menidia audens",2
"Micropterus",2
"Moxostoma poecilurum",2
"Myoxocephalus quadricornis",2
"Notropis bifrenatus",2
"Notropis edwardraneyi",2
"Notropis heterodon",2
"Notropis orca",2
"Notropis orca x Notropis simus",2
"Notropis stilbius",2
"Noturus leptacanthus",2
"Noturus munitus",2
"Oncorhynchus clarki x Oncorhynchus mykiss",2
"Oncorhynchus gilae x Oncorhynchus mykiss",2
"Oncorhynchus gorbuscha",2
"Oncorhynchus mykiss x Oncorhynchus gilae",2
"Osmerus mordax",2
"Pantosteus sucklii x Pantosteus plebeius",2
"Pantosteus zuniensis",2
"Percina",2
"Percina evides",2
"Percina ouachitae",2
"Petromyzon marinus",2
"Phoxinus eos",2
"Phoxinus eos x Phoxinus neogaeus",2
"Piaractus brachypomus",2
"Platygobio gracilis x Rhinichthys cataractae",2
"Polyodon spathula",2
"Prosopium cylindraceum",2
"Ptychocheilus oregonensis",2
"Relictus solitarius",2
"Rhinichthys osculus x Richardsonius balteatus",2
"Salvelinus malma",2
"Scartomyzon austrinus",2
"Stizostedion canadense",2
"Tilapia",2
"Trichiurus lepturus",2
"Umbra limi",2
"Umbra pygmaea",2
"Xiphophorus helleri",2
"Xyrauchen texanus x Catostomus latipinnis",2
"Acantharchus pomotis",1
"Achirus lineatus",1
"Adinia xenica",1
"Alosa alabamae",1
"Alosa chrysochloris",1
"Ambloplites cavifrons",1
"Ameiurus brunneus",1
"Ammocrypta beanii",1
"Ammocrypta vivax",1
"Ammodytes",1
"Anchoa",1
"Anchoa mitchilli",1
"Ancylopsetta dilecta",1
"Ancylopsetta quadrocellata",1
"Antennarius ocellatus",1
"Arius felis",1
"Astronotus ocellatus",1
"Balistes capriscus",1
"Balistes carolinensis",1
"Boreogadus saida",1
"Brevoortia tyrannus",1
"Campostoma anomalum x Semotilus atromaculatus",1
"Campostoma oligolepis",1
"Caranx ruber",1
"Catostomus catostomus x Catostomus commersoni",1
"Catostomus clarkii x Catostomus insignis",1
"Catostomus columbianus",1
"Catostomus commersonii x Catostomus delphinus",1
"Catostomus discobolus x Catostomus latipinnis",1
"Catostomus insignis x Catostomus clarkii",1
"Centropomus undecimalis",1
"Chaenobryttus coronarius",1
"Chilomycterus schoepfi",1
"Chologaster cornuta",1
"Chrosomus oreas",1
"Cichlasoma",1
"Colossoma macropomum",1
"Coregonus sardinella",1
"Cottus hypselurus",1
"Ctenopharyngodon idella",1
"Ctenopharyngodon idella x Hypophthalmichthys nobilis",1
"Cycleptus meridionalis",1
"Cynoscion nothus",1
"Cynoscion regalis",1
"Cyprinella",1
"Cyprinella nivea",1
"Cyprinella pyrrhomelas",1
"Cyprinodon fontinalis",1
"Cyprinodon macularius",1
"Cyprinodon pecosensis x Cyprinodon variegatus",1
"Cyprinodontidae",1
"Dallia pectoralis",1
"Diodon holocanthus",1
"Dionda",1
"Elassoma zonatum",1
