"Typestatus","Count"
"",99068
"voucher of <a href=""http://arctos.database.museum/name/ictalurus lupus"">ictalurus lupus</a> in <a href=""http://arctos.database.museum/publication/10007087"">criscitiello, michael f., et al. ""β 2-microglobulin of ictalurid catfishes."" immunogenetics 48.5 (1998): 339-343.</a>",1
"voucher of <a href=""http://arctos.database.museum/name/ictalurus punctatus"">ictalurus punctatus</a> in <a href=""http://arctos.database.museum/publication/10004949"">yates et al. 1984</a>",1
