"Family","Count"
"colocongridae",72
"rachycentridae",72
"linophrynidae",71
"notopteridae",71
"urolophidae",71
"chirocentridae",70
"istiophoridae",70
"lamnidae",70
"trachinidae",70
"hoplichthyidae",69
"dalatiidae",67
"giganturidae",67
"grammicolepididae",67
"heterodontidae",67
"potamotrygonidae",67
"amphiliidae",66
"centrolophidae",66
"muraenolepididae",65
"ariommatidae",64
"polypteridae",62
"malapteruridae",60
"emmelichthyidae",58
"pangasiidae",58
"molidae",57
"melanocetidae",56
"ateleopodidae",55
"chilodontidae",55
"pegasidae",55
"aulopidae",54
"odontobutidae",54
"rhinochimaeridae",54
"trachipteridae",53
"ginglymostomatidae",52
"scombropidae",52
"anatidae",51
"callorhinchidae",50
"cetomimidae",50
"cryptacanthodidae",50
"centrogenyidae",49
"anacanthobatidae",48
"astronesthidae",47
"omosudidae",46
"aploactinidae",45
"kurtidae",45
"stephanoberycidae",45
"badidae",44
"pholidichthyidae",43
"hepsetidae",42
"polyodontidae",42
"hemigaleidae",41
"osteoglossidae",41
"bathyclupeidae",40
"anoplopomatidae",39
"kraemeriidae",39
"alopiidae",38
"polycentridae",38
"berycidae",37
"isonidae",37
"odontaspididae",37
"nandidae",36
"pentacerotidae",35
"pseudomugilidae",35
"stylephoridae",35
"harpagiferidae",34
"xiphiidae",34
"aphyonidae",28
"belontiidae",28
"bovichtidae",28
"dentatherinidae",28
"lactariidae",28
"odacidae",28
"himantolophidae",27
"pristiophoridae",27
"retropinnidae",27
"salangidae",27
"draconettidae",26
"menidae",26
"pristolepididae",26
"nematistiidae",25
"nileidae",25
"proscylliidae",25
"amblycipitidae",23
"anomalopidae",23
"hapalogenyidae",23
"scoloplacidae",23
"scopelosauridae",23
"bathysauridae",22
"caristiidae",22
"callanthiidae",21
"plecoglossidae",21
"arapaimidae",20
"aulorhynchidae",20
"centracanthidae",20
"citharinidae",20
"eleginopsidae",20
"polyprionidae",20
"rondeletiidae",20
"aplodactylidae",19
"aracanidae",19
"helostomatidae",19
"rhyacichthyidae",19
"telmatherinidae",19
"apistidae",18
"mirapinnidae",18
"scombrolabracidae",18
"solenostomidae",18
"bembridae",17
"gonorynchidae",17
"inachidae",17
"protopteridae",17
"cyematidae",16
"datnioididae",16
"stegostomatidae",16
"glaucosomatidae",15
"gyrinocheilidae",15
"ostracoberycidae",15
"pseudaphritidae",15
"zaproridae",15
"achiropsettidae",14
"congiopodidae",14
"erethistidae",14
"heterenchelyidae",14
"heteropneustidae",14
"latimeriidae",14
"monocentridae",14
"arripidae",13
"echinorhinidae",13
