"dwc.preparations","freq"
"EtOH - 197",14
"EtOH - 219",14
"EtOH - 222",14
"EtOH - 227",14
"EtOH - 237",14
"EtOH - 24|C&S - 2",14
"EtOH - 253",14
"EtOH - 254",14
"EtOH - 260",14
"EtOH - 262",14
"EtOH - 5|C&S - 2",14
"C&S - 3",13
"EtOH - 13|C&S - 2",13
"EtOH - 16|C&S - 2",13
"EtOH - 196",13
"EtOH - 215",13
"EtOH - 218",13
"EtOH - 280",13
"EtOH - 11|C&S - 3",12
"EtOH - 13|C&S - 1",12
"EtOH - 15|C&S - 2",12
"EtOH - 19|C&S - 1",12
"EtOH - 192",12
"EtOH - 229",12
"EtOH - 236",12
"EtOH - 238",12
"EtOH - 239",12
"EtOH - 240",12
"EtOH - 244",12
"EtOH - 247",12
"EtOH - 285",12
"EtOH - 3|skeleton - 2",12
"EtOH - 351",12
"EtOH - 500",12
"EtOH - 14|C&S - 2",11
"EtOH - 15|C&S - 1",11
"EtOH - 20|C&S - 2",11
"EtOH - 209",11
"EtOH - 216",11
"EtOH - 225",11
"EtOH - 232",11
"EtOH - 25|C&S - 2",11
"EtOH - 250",11
"EtOH - 251",11
"EtOH - 257",11
"EtOH - 264",11
"EtOH - 273",11
"EtOH - 28|C&S - 2",11
"EtOH - 294",11
"EtOH - 312",11
"C&S - 4",10
"EtOH - 14|C&S - 1",10
"EtOH - 15|C&S - 3",10
"EtOH - 16|C&S - 1",10
"EtOH - 17|C&S - 1",10
"EtOH - 17|C&S - 2",10
"EtOH - 221",10
"EtOH - 23|C&S - 2",10
"EtOH - 234",10
"EtOH - 245",10
"EtOH - 256",10
"EtOH - 263",10
"EtOH - 266",10
"EtOH - 267",10
"EtOH - 288",10
"EtOH - 379",10
"skeleton - 11",10
"skeleton - 13",10
"EtOH - 1|skeleton - 3",9
"EtOH - 12|C&S - 3",9
"EtOH - 14|skeleton - 1",9
"EtOH - 233",9
"EtOH - 248",9
"EtOH - 274",9
"EtOH - 276",9
"EtOH - 277",9
"EtOH - 282",9
