"dwc.preparations","freq"
"70% alcohol",55029
"skull",874
"tissue | 70% alcohol",671
"cleared and stained",365
"95% alcohol",137
"",121
"frozen",39
"FR",25
"7% EtOH",15
"70% EtOH; FR",15
"stub for scanning electron microscope",13
"mount",7
"skeleton | tissue",7
"C/S",3
"dry",2
"alcoholic skin | tissue",1
