"dwc.scientificName","freq"
"Noturus leptacanthus",61
"Brienomyrus",60
"Notropis spectrunculus",60
"Etheostoma fusiforme fusiforme",59
"Hypentelium etowanum",59
"Notropis dorsalis",59
"Bathygobius soporator",58
"Moxostoma rupiscartes",58
"Notropis longirostris",58
"Notropis lutrensis",58
"Carassius auratus",57
"Etheostoma camurum",57
"Etheostoma exile",57
"Labeo",57
"Tanichthys albonubes",57
"Etheostoma swannanoa",56
"Fundulus notatus",56
"Nocomis bellicus",56
"Notropis buchanani",56
"Opsopoeodus emiliae",56
"Paramormyrops curvifrons",56
"Etheostoma serrifer",55
"Schilbeodes leptacanthus",55
"Sphoeroides maculatus",55
"Mastacembelus",54
"Notropis wickliffi",54
"Paralichthys dentatus",54
"Rhinichthys atronasus",54
"Schilbeodes gyrinus",54
"Ameiurus catus",53
"Petrocephalus simus",53
"Schilbeodes mollis",53
"Strongylura notata",53
"Brycinus macrolepidotus",52
"Fundulus cingulatus",52
"Mormyrops nigricans",52
"Moxostoma breviceps",52
"Percina crassa",52
"Petrocephalus arnegardi",52
"Labeobarbus",51
"Lepomis humilis",51
"Notropis xaenocephalus",51
"Chilomycterus schoepfi",50
"Cyprinella callistia",50
"Gobiosoma bosc",50
"Hemichromis elongatus",50
"Monacanthus hispidus",50
"Mugil curema",50
"Percina sciera",50
"Poecilichthys zonalis",50
"Synodus foetens",50
"Aplocheilichthys",49
"Nocomis platyrhynchus",49
"Petrocephalus zakoni",49
"Phenacobius mirabilis",49
"Aphyosemion",48
"Brycinus",48
"Caranx hippos",48
"Characidae",48
"Cyprinella pyrrhomelas",48
"Etheostoma maculatum",48
"Hybopsis storeriana",48
"Labidesthes sicculus sicculus",48
"Morone chrysops",48
"Myoxocephalus aenaeus",48
"Notropis maculatus",48
"Noturus exilis",48
"Orthopristis chrysoptera",48
"Poecilichthys variatus",48
"Pteronotropis signipinnis",48
"Etheostoma vitreum",47
"Gerres cinereus",47
"Hybopsis",47
"Hybopsis insignis",47
"Lutjanus griseus",47
"Lythrurus umbratilis cyanocephalus",47
"Marcusenius",47
"Menticirrhus saxatilis",47
"Nocomis raneyi",47
"Notropis altipinnis",47
