"dwc.preparations","freq"
"whole organism (ethanol) - 3; tissue (95% ethanol) - 1",24
"whole organism (isopropanol) - 130",24
"tissue (95% ethanol) - 10; whole organism (ethanol) - 2",23
"whole organism (ethanol) - 22",23
"whole organism (isopropanol) - 114",23
"whole organism (isopropanol) - 118",23
"tissue (95% ethanol) - 1; whole organism (ethanol) - 1; EOD Recording - 1",22
"tissue (95% ethanol) - 10; skeleton (dry) - 1",22
"tissue (95% ethanol) - 10; whole organism (ethanol) - 3",22
"whole organism (ethanol) - 23",22
"whole organism (ethanol) - 3; tissue (95% ethanol) - 10",22
"whole organism (isopropanol) - 108",22
"whole organism (isopropanol) - 94",22
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 2",21
"whole organism (isopropanol) - 115",21
"whole organism (isopropanol) - 116",21
"whole organism (ethanol) - 24",20
"whole organism (ethanol) - 25",20
"whole organism (formalin) - 5",20
"whole organism (isopropanol) - 121",20
"whole organism (isopropanol) - 124",20
"whole organism (isopropanol) - 5; photograph - 1",20
"whole organism (C & S) - 0",19
"whole organism (isopropanol) - 107",19
"whole organism (isopropanol) - 134",19
"whole organism (isopropanol) - 137",19
"whole organism (isopropanol) - 8; photograph - 1",19
"skeleton (dry) - 1; tissue (95% ethanol) - 10",18
"whole organism (ethanol) - 26",18
"whole organism (ethanol) - 4; tissue (95% ethanol) - 1",18
"whole organism (ethanol) - 4; tissue (95% ethanol) - 10",18
"whole organism (isopropanol) - 106",18
"whole organism (isopropanol) - 117",18
"whole organism (isopropanol) - 126",18
"whole organism (isopropanol) - 127",18
"skull (dry) - 1",17
"tissue (95% ethanol) - 1; EOD Recording - 1; whole organism (ethanol) - 1",17
"whole organism (isopropanol) - 1; histological slide - 7",17
"whole organism (isopropanol) - 122",17
"whole organism (isopropanol) - 169",17
"whole organism (isopropanol) - 400",17
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; whole organism (ethanol) - 2",16
"whole organism (ethanol) - 30",16
"whole organism (isopropanol) - 104",16
"whole organism (isopropanol) - 123",16
"whole organism (isopropanol) - 142",16
"whole organism (isopropanol) - 6; photograph - 1",16
"EOD Recording - 1; whole organism (ethanol) - 1; tissue (95% ethanol) - 1",15
"fossil - 1",15
"tissue (95% ethanol) - 1; whole organism (ethanol) - 3",15
"tissue (95% ethanol) - 1; whole organism (ethanol) - 4; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",15
"whole organism (C & S) - 6",15
"whole organism (ethanol) - 2; tissue (95% ethanol) - 10; tissue (95% ethanol) - 1",15
"whole organism (ethanol) - 28",15
"whole organism (ethanol) - 31",15
"whole organism (isopropanol) - 111",15
"whole organism (isopropanol) - 250",15
"body parts (ethanol) - 1",14
"whole organism (ethanol) - 1; tissue (DMSO/EDTA) - 10",14
"whole organism (ethanol) - 6; tissue (95% ethanol) - 1",14
"whole organism (isopropanol) - 112",14
"whole organism (isopropanol) - 113",14
"whole organism (isopropanol) - 132",14
"whole organism (isopropanol) - 136",14
"histological slide - 7; whole organism (isopropanol) - 1",13
"tissue (95% ethanol) - 1; whole organism (ethanol) - 3; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",13
"tissue (95% ethanol) - 10; whole organism (ethanol) - 1; tissue (95% ethanol) - 1",13
"whole organism (ethanol) - 1; tissue (DMSO/EDTA) - 1",13
"whole organism (ethanol) - 35",13
"whole organism (ethanol) - 38",13
"whole organism (ethanol) - 42",13
"whole organism (isopropanol) - 109",13
"whole organism (isopropanol) - 128",13
"whole organism (isopropanol) - 135",13
"whole organism (isopropanol) - 143",13
"whole organism (isopropanol) - 146",13
"whole organism (isopropanol) - 176",13
"tissue (95% ethanol) - 1; whole organism (ethanol) - 4",12
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol)",12
"tissue (95% ethanol) - 10; whole organism (ethanol) - 4",12
"whole organism (C & S) - 4",12
"whole organism (ethanol) - 3; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",12
"whole organism (isopropanol) - 119",12
"whole organism (isopropanol) - 129",12
"whole organism (isopropanol) - 133",12
"whole organism (isopropanol) - 155",12
"whole organism (isopropanol) - 156",12
"tissue (95% ethanol) - 10; whole organism (ethanol) - 3; tissue (95% ethanol) - 1",11
"tissue (DMSO/EDTA) - 1; skeleton (dry) - 1",11
"whole organism (ethanol) - 29",11
"whole organism (ethanol) - 4; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",11
"whole organism (ethanol) - 40",11
"whole organism (isopropanol) - 120",11
"whole organism (isopropanol) - 141",11
"whole organism (isopropanol) - 147",11
"whole organism (isopropanol) - 153",11
"whole organism (isopropanol) - 154",11
"whole organism (isopropanol) - 158",11
"whole organism (isopropanol) - 164",11
"whole organism (isopropanol) - 175",11
"tissue (95% ethanol) - 1; skeleton (dry) - 1",10
"whole organism (ethanol) - 33",10
"whole organism (ethanol) - 43",10
"whole organism (ethanol) - 45",10
"whole organism (formalin) - 11",10
"whole organism (isopropanol) - 139",10
"whole organism (isopropanol) - 145",10
"whole organism (isopropanol) - 161",10
"whole organism (isopropanol) - 165",10
"whole organism (isopropanol) - 172",10
"whole organism (isopropanol) - 184",10
"whole organism (isopropanol) - 7; photograph - 1",10
"skeleton (dry) - 0",9
"skeleton (dry) - 2",9
"tissue (95% ethanol) - 1; whole organism (ethanol) - 6",9
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1",9
"tissue (95% ethanol) - 10; whole organism (ethanol) - 5",9
"tissue (DMSO/EDTA) - 10; whole organism (ethanol) - 1",9
"whole organism (ethanol) - 3; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",9
"whole organism (ethanol) - 32",9
"whole organism (ethanol) - 37",9
"whole organism (ethanol) - 5; tissue (95% ethanol) - 1",9
"whole organism (formalin) - 12",9
"whole organism (isopropanol) - 144",9
"whole organism (isopropanol) - 151",9
"whole organism (isopropanol) - 152",9
"whole organism (isopropanol) - 160",9
"whole organism (isopropanol) - 227",9
"Gift Specimen(s) - 1; tissue (95% ethanol) - 10",8
"scale (dry) - 1; skeletal element(s) (dry) - 1",8
"skeletal element(s) (dry) - 1; scale (dry) - 1",8
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 4",8
"tissue (95% ethanol) - 1; whole organism (isopropanol) - 1",8
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 4",8
"tissue (95% ethanol) - 10; whole organism (ethanol) - 2; tissue (95% ethanol) - 1",8
"whole organism (formalin) - 8",8
"whole organism (isopropanol) - 1; tissue (95% ethanol) - 1",8
"whole organism (isopropanol) - 11; photograph - 1",8
"whole organism (isopropanol) - 131",8
"whole organism (isopropanol) - 14; photograph - 1",8
"whole organism (isopropanol) - 140",8
"whole organism (isopropanol) - 148",8
"whole organism (isopropanol) - 188",8
"whole organism (isopropanol) - 9; photograph - 1",8
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",7
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 4; tissue (95% ethanol) - 1",7
"tissue (95% ethanol) - 10; whole organism (ethanol) - 4; tissue (95% ethanol) - 1",7
"tissue (95% ethanol) - 10; whole organism (isopropanol) - 1",7
"whole organism (ethanol) - 1; Gift Specimen(s) - 1",7
"whole organism (ethanol) - 1; tissue (95% ethanol) - 1; EOD Recording - 1; photograph - 1",7
"whole organism (ethanol) - 1; tissue (95% ethanol) - 10; tissue (95% ethanol) - 1",7
"whole organism (ethanol) - 34",7
"whole organism (ethanol) - 36",7
"whole organism (ethanol) - 39",7
"whole organism (ethanol) - 41",7
"whole organism (ethanol) - 44",7
"whole organism (ethanol) - 5; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",7
"whole organism (ethanol) - 6; tissue (95% ethanol) - 10",7
"whole organism (formalin) - 13",7
"whole organism (formalin) - 4",7
"whole organism (isopropanol) - 13; photograph - 1",7
"whole organism (isopropanol) - 149",7
"whole organism (isopropanol) - 159",7
"whole organism (isopropanol) - 162",7
"whole organism (isopropanol) - 163",7
"whole organism (isopropanol) - 166",7
"whole organism (isopropanol) - 174",7
"whole organism (isopropanol) - 179",7
"whole organism (isopropanol) - 185",7
"whole organism (isopropanol) - 201",7
"whole organism (isopropanol) - 204",7
"whole organism (isopropanol) - 500",7
"skeleton (dry) - 3",6
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 4; tissue (95% ethanol) - 1",6
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 3; tissue (95% ethanol) - 1",6
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 4; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",6
"tissue (95% ethanol) - 1; whole organism (ethanol) - 5",6
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (etha",6
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 3",6
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; whole organism (ethanol) - 4",6
"tissue (DMSO/EDTA) - 10; tissue (DMSO/EDTA) - 1; tissue (DMSO/EDTA) - 1",6
"whole organism (C & S) - 7",6
"whole organism (ethanol) - 1; Gift Specimen(s) - 1; tissue (95% ethanol) - 10",6
"whole organism (ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",6
"whole organism (ethanol) - 12; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",6
"whole organism (ethanol) - 4; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",6
"whole organism (ethanol) - 47",6
"whole organism (ethanol) - 56",6
"whole organism (ethanol) - 57",6
"whole organism (ethanol) - 58",6
"whole organism (ethanol) - 6; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",6
"whole organism (formalin) - 2",6
"whole organism (formalin) - 3",6
"whole organism (glutaraldehyde) - 1",6
"whole organism (isopropanol) - 12; photograph - 1",6
"whole organism (isopropanol) - 138",6
"whole organism (isopropanol) - 157",6
"whole organism (isopropanol) - 170",6
"whole organism (isopropanol) - 18; photograph - 1",6
"whole organism (isopropanol) - 180",6
"whole organism (isopropanol) - 191",6
"whole organism (isopropanol) - 215",6
"whole organism (isopropanol) - 224",6
"whole organism (isopropanol) - 234",6
"whole organism (isopropanol) - 249",6
"whole organism (isopropanol) - 262",6
"whole organism (isopropanol) - 302",6
"whole organism (isopropanol) - 306",6
"35 mm slide - 1; whole organism (ethanol) - 1; tissue (95% ethanol) - 1",5
"Gift Specimen(s) - 1",5
"histological slide - 7; whole organism (isopropanol) - 2",5
"skeleton (dry) - 1; tissue (95% ethanol) - 1",5
"skeleton (dry) - 5",5
"skelton (ethanol) - 1",5
"tissue (95% ethanol) - 1; 35 mm slide - 1; whole organism (ethanol) - 1",5
"tissue (95% ethanol) - 1; whole organism (ethanol) - 1; tissue (95% ethanol) - 1",5
"tissue (95% ethanol) - 1; whole organism (ethanol) - 8",5
"tissue (95% ethanol) - 10; Gift Specimen(s) - 3; whole organism (ethanol) - 3",5
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 5",5
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; whole organism (ethanol) - 1",5
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; whole organism (ethanol) - 4; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",5
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; whole organism (ethanol) - 5; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",5
"tissue (95% ethanol) - 10; whole organism (ethanol) - 4; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",5
"tissue (95% ethanol) - 10; whole organism (ethanol) - 5; tissue (95% ethanol) - 1",5
"tissue (95% ethanol) - 10; whole organism (ethanol) - 9; tissue (95% ethanol) - 1",5
"tissue (DMSO/EDTA) - 1; whole organism (ethanol) - 1",5
