"Continent","Count"
NA,38
"AUS",1
"BHS",18
"BLZ",13
"BRA",1
"CAN",159
"CAF",1
"DEU",1
"GTM",37
"HND",18
"JPN",2
"KEN",6
"MEX",73
"PAN",1
"PRY",1
"POL",12
"RUS",2
"ESP",1
"UGA",6
"USA",101633
