"dwc.scientificName","freq"
"Clinostomus elongatus",328
"Etheostoma blennioides blennioides",325
"Fundulus catenatus",321
"Lepomis",317
"Notropis cornutus chrysocephalus",310
"Moxostoma anisurum",309
"Cottus bairdi",296
"Moxostoma duquesnei",285
"Erimystax x-punctatus",284
"Umbra limi",266
"Notropis deliciosus stramineus",264
"Notropis buchanani",253
"Noturus gyrinus",253
"Lepomis gulosus",250
"Rhinichthys atratulus meleagris",250
"Lethenteron appendix",237
"Percina copelandi",234
"Ameiurus melas",233
"Culaea inconstans",224
"Notropis cornutus",223
"Cyprinella lutrensis",220
"Pimephales promelas promelas",220
"Campostoma oligolepis",219
"Carpiodes carpio",217
"Notropis boops",210
"Erimystax dissimilis",206
"Micropterus dolomieu dolomieu",204
"Carassius auratus",202
"Ictalurus natalis",201
"Moxostoma duquesnii",199
"Cottus bairdii bairdii",194
"Etheostoma tippecanoe",193
"Alosa chrysochloris",191
"Moxostoma breviceps",189
"Fundulus olivaceous",183
"Notropis umbratilis",183
"Etheostoma microperca",180
"Etheostoma nigrum nigrum",179
"Ictiobus bubalus",178
"Chrosomus erythrogaster",177
"Erimyzon claviformis",175
"Catostomus commersonii commersonii",166
"Notropis nubilus",166
"Notropis volucellus volucellus",166
"Luxilus zonatus",164
"Esox vermiculatus",160
"Lepisosteus osseus",156
"Notropis umbratilis cyanocephalus",151
"Ichthyomyzon unicuspis",150
"Noturus exilis",150
"Clinostomus funduloides",145
"Rhinichthys cataractae",143
"Percina shumardi",141
"Rhinichthys obtusus",141
"Lepomis microlophus",139
"Moxostoma macrolepidotum",137
"Ictalurus melas",134
"Erimyzon oblongus claviformis",133
"Campostoma anomalum pullum",131
"Stizostedion vitreum",129
"Cottus carolinae",128
"Hiodon tergisus",127
"Notropis dorsalis",127
"Oncorhynchus mykiss",126
"Hybopsis amblops amblops",124
"Alosa pseudoharengus",123
"Etheostoma exile",119
"Notropis heterolepis",119
"Percina caprodes semifasciata",117
"Notropis amblops",116
"Carpiodes cyprinus hinei",115
"Pylodictis olivaris",112
"Etheostoma maculatum",108
"Ictalurus nebulosus",107
"Ameiurus nebulosus",105
"Noturus eleutherus",105
"Aphredoderus sayanus",104
"Stizostedion canadense",104
"Fundulus diaphanus menona",103
"Noturus stigmosus",102
"Notropis atherinoides atherinoides",101
"Acipenser fulvescens",100
"Anguilla rostrata",99
"Moxostoma carinatum",99
"Boleosoma nigrum nigrum",98
"Morone americana",98
"Hybognathus nuchalis",97
"Poecilichthys spectabilis",95
"Esox lucius",94
"Petromyzon marinus",94
"Erimyzon sucetta",93
"Opsopoeodus emiliae",93
"Salvelinus fontinalis",92
"Etheostoma zonale zonale",90
"Notemigonus crysoleucas auratus",89
"Morone",88
"Micropterus punctulatus punctulatus",87
"Ameiurus melas melas",86
"Amia calva",86
"Osmerus mordax",86
"Exoglossum laurae",85
"Huro salmoides",80
"Ameiurus natalis natalis",79
"Poecilichthys zonalis zonalis",79
"Stizostedion vitreum vitreum",79
"Carpiodes velifer",77
