"dwc.scientificName","freq"
"Opsopoeodus emiliae",20
"Rhamdia sp.",20
"Astroblepus sp.",19
"Cichlasoma sp.",19
"Clupea pallasii pallasii",19
"Nocomis micropogon",19
"Noturus leptacanthus",19
"Odontostilbe fugitiva",19
"Parophrys vetulus",19
"Percopsis omiscomaycus",19
"Platichthys stellatus",19
"Schizothorax progastus",19
"Stephanolepis hispidus",19
"Xenentodon cancila",19
"Cyprinodon rubrofluviatilis",18
"Etheostoma asprigene",18
"Garra annandalei",18
"Herichthys cyanoguttatus",18
"Hypentelium etowanum",18
"Lythrurus bellus",18
"Noturus insignis",18
"Oncorhynchus mykiss",18
"Opsarius barna",18
"Opsarius shacra",18
"Percina carbonaria",18
"Phoxinus phoxinus",18
"Ptychocheilus oregonensis",18
"Symphurus plagiusa",18
"Bryconamericus -G-",17
"Crystallaria asprella",17
"Esox lucius",17
"Esox niger",17
"Etheostoma euzonum",17
"Etheostoma flabellare lineolatum",17
"Glossogobius giuris",17
"Glyptothorax gracilis",17
"Micropogonias undulatus",17
"Morone americana",17
"Schistura rupecula",17
"Trichiurus lepturus",17
"Amblyceps mangois",16
"Ammocrypta bifascia",16
"Anchoa hepsetus",16
"Bryconamericus -A-",16
"Bryconamericus -C-",16
"Crenicichla lepidota",16
"Culaea inconstans",16
"Cymatogaster aggregata",16
"Equetus punctatus",16
"Erimyzon sucetta",16
"Hatcheria macraei",16
"Notropis chalybaeus",16
"Noturus flavater",16
"Rhamdia guatemalensis",16
"Stenobrachius leucopsarus",16
"Synodus foetens",16
"Trichomycterus sp.",16
"Alosa chrysochloris",15
"Aspidoparia jaya",15
"Chagunius chagunio",15
"Etheostoma kennicotti",15
"Fundulus escambiae",15
"Lepisosteus oculatus",15
"Moxostoma congestum",15
"Noturus hildebrandi",15
"Oligocottus maculosus",15
"Pimelodella hasemani",15
"Poecilia sphenops",15
"Siphateles bicolor",15
"Thymallus arcticus",15
"Tyttocharax sp.",15
"Bryconamericus -D-",14
"Callichthys callichthys",14
"Catostomus ardens",14
"Chaetostoma dermorhynchum",14
"Chanda nama",14
"Ctenopharyngodon idella",14
"Cyprinodon sp.",14
"Devario devario",14
"Erythrinus erythrinus",14
"Etheostoma camurum",14
"Etheostoma crossopterum",14
"Etheostoma fusiforme",14
"Etheostoma virgatum",14
"Fundulus kansae",14
"Gymnotus carapo",14
"Hemigrammus -B-",14
"Hippoglossoides elassodon",14
"Leptocottus armatus",14
"Mastacembelus armatus",14
"Myoxocephalus polyacanthocephalus",14
"Notropis ozarcanus",14
"Percina cymatotaenia",14
"Percina vigil",14
"Rasbora daniconius",14
"Salvelinus fontinalis",14
"Trinectes maculatus",14
"Aspidoparia morar",13
"Badis badis",13
"Bryconamericus sp.",13
"Chaetodipterus faber",13
"Cyprinella callistia",13
"Dasyloricaria filamentosa",13
"Enneacanthus gloriosus",13
"Esox americanus vermiculatus",13
"Fundulus diaphanus",13
"Glyptocephalus zachirus",13
"Ichthyomyzon fossor",13
"Ichthyomyzon gagei",13
"Lampetra aepyptera",13
"Lepidopsetta bilineata",13
"Notropis baileyi",13
"Notropis leuciodus",13
"Notropis photogenis",13
"Oncorhynchus clarkii",13
"Pethia guganio",13
"Piabucina elongata",13
"Poecilia sp.",13
"Pomacanthus imperator",13
"Semotilus corporalis",13
"Acanthocharax sp.",12
"Adinia xenica",12
"Ameiurus nebulosus",12
"Bangana dero",12
"Catostomus plebeius",12
"Chrosomus eos",12
"Chrosomus oreas",12
"Cyprinella lutrensis x C. venusta",12
"Cyprinella trichroistia",12
"Dionda episcopa",12
"Etheostoma parvipinne",12
"Gila nigrescens",12
"Gobiosoma bosc",12
"Hiodon tergisus",12
"Labeo boga",12
"Lota lota",12
"Lyopsetta exilis",12
"Macrhybopsis tetranema",12
"Macrognathus pancalus",12
"Microgadus proximus",12
"Neolissochilus hexagonolepis",12
"Notropis atrocaudalis",12
"Notropis micropteryx",12
"Ochmacanthus reinhardtii",12
"Percichthys trucha",12
"Podothecus accipenserinus",12
"Scaphirhynchus albus",12
"Schistura sp.",12
"Ancistrus hoplogenys",11
"Astyanax mexicanus",11
"Astyanax sp.",11
"Brevoortia patronus",11
"Charax sp.",11
