"dwc.scientificName","freq"
"Paraliparis copei",25
"Antimora rostrata",24
"Cottus",24
"Gambusia holbrooki",24
"Nocomis platyrhynchus",24
"Scomberomorus maculatus",24
"Acanthonus armatus",23
"Centrophorus granulosus",23
"Cyprinus carpio",23
"Foetorepus goodenbeani",23
"Gobiesox",23
"Notropis bifrenatus",23
"Peprilus paru",23
"Raja garmani",23
"Scyliorhinus retifer",23
"Sphoeroides maculatus",23
"Stellifer lanceolatus",23
"Coryphaenoides leptolepis",22
"Cyprinella galactura",22
"Etheostoma fusiforme",22
"Etmopterus bullisi",22
"Kajikia albida",22
"Lycodonus mirabilis",22
"Notropis photogenis",22
"Pholis laeta",22
"Polymixia lowei",22
"Prionotus evolans",22
"Selene vomer",22
"Dorosoma petenense",21
"Hydrolagus affinis",21
"Laemonema barbatulum",21
"Lutjanus griseus",21
"Malacocephalus occidentalis",21
"Membras martinica",21
"Nezumia aequalis",21
"Phenacobius teretulus",21
"Raja ocellata",21
"Sternoptyx",21
"Trachurus lathami",21
"Bathylagus euryops",20
"Cottunculus thomsonii",20
"Cyclothone microdon",20
"Enneacanthus obesus",20
"Hemitripterus americanus",20
"Hoplostethus mediterraneus",20
"Hygophum hygomii",20
"Moxostoma",20
"Myoxocephalus octodecemspinosus",20
"Percina gymnocephala",20
"Pseudopleuronectes americanus",20
"Remora brachyptera",20
"Selar crumenophthalmus",20
"Anguilliformes",19
"Carcharhinus plumbeus",19
"Echeneis naucrates",19
"Glyptocephalus cynoglossus",19
"Luxilus chrysocephalus",19
"Pimephales promelas",19
"Syngnathus floridae",19
"Syngnathus louisianae",19
"Zaprora silenus",19
"Aluterus schoepfii",18
"Centroscyllium fabricii",18
"Dolicholagus longirostris",18
"Elops saurus",18
"Etmopterus princeps",18
"Foetorepus agassizii",18
"Gadella imberbis",18
"Halosauropsis macrochir",18
"Multiple species",18
"Myxine glutinosa",18
"Percina rex",18
"Pholis ornata",18
"Polyacanthonotus rissoanus",18
"Scopeloberyx opisthopterus",18
"Scophthalmus aquosus",18
"Synagrops spinosus",18
"Synaphobranchus brevidorsalis",18
"Chiasmodon niger",17
"Ericymba buccata",17
"Lepomis",17
"Macroramphosus scolopax",17
"Menticirrhus americanus",17
"Polyacanthonotus merretti",17
"Polyipnus asteroides",17
"Remora remora",17
"Symphurus billykrietei",17
"Synaphobranchus",17
"Urophycis tenuis",17
"Venefica procera",17
"Barathrites parri",16
"Chaetodon ocellatus",16
"Ipnops murrayi",16
"Lepidophanes guentheri",16
"Membras vagrans",16
"Notropis chiliticus",16
"Photostomias guernei",16
"Porichthys porosissimus",16
"Rhinoptera bonasus",16
"Syngnathus scovelli",16
"Coryphaenoides rupestris",15
"Etrumeus sadina",15
"Fundulus heteroclitus macrolepidotus",15
"Fundulus luciae",15
"Halargyreus johnsonii",15
"Hybopsis amblops",15
"Paraliparis calidus",15
"Rachycentron canadum",15
"Scopelogadus mizolepis",15
"Aldrovandia gracilis",14
"Anoplogaster cornuta",14
"Archosargus probatocephalus",14
"Bathypterois phenax",14
"Decapterus punctatus",14
"Diogenichthys atlanticus",14
"Etheostoma zonale",14
"Histrio histrio",14
"Ictalurus furcatus",14
"Laemonema",14
"Maurolicus muelleri",14
"Monomitopus agassizii",14
"Mycteroperca microlepis",14
"Notolychnus valdiviae",14
"Notropis semperasper",14
"Phytichthys chirus",14
"Semotilus",14
"Serrivomer lanceolatoides",14
"Squalus acanthias",14
"Trachinotus carolinus",14
"Urophycis floridana",14
"Zenopsis conchifer",14
"Ammodytes dubius",13
"Apodichthys flavidus",13
"Bassozetus",13
"Cephalopholis fulva",13
"Cryptacanthodes maculatus",13
"Diplectrum formosum",13
"Ichthyococcus ovatus",13
"Myctophum punctatum",13
"Myrophis punctatus",13
"Notropis chalybaeus",13
"Physiculus fulvus",13
"Salmo trutta",13
"Sphyraena borealis",13
