"dwc.scientificName","freq"
"Cyprinus carpio",76
"Myctophum affine",76
"Cyclothone pallida",75
"Percina gymnocephala",75
"Cyclothone braueri",74
"Etheostoma gutselli",74
"Aluterus schoepfii",72
"Ophidion josephi",72
"Moxostoma sp. Carolina Redhorse",71
"Myrophis punctatus",69
"Polyipnus clarus",69
"Erimystax insignis",68
"Lethenteron appendix",68
"Notropis mekistocholas",67
"Pomatomus saltatrix",67
"Cheilopogon melanurus",65
"Coryphaena hippurus",65
"Lepidophanes guentheri",65
"Opisthonema oglinum",65
"Peprilus triacanthus",65
"Vinciguerria poweriae",65
"Clinostomus sp. Smoky Dace",64
"Helicolenus dactylopterus",64
"Caranx hippos",63
"Noturus leptacanthus",63
"Benthosema suborbitale",62
"Carcharhinus acronotus",62
"Pimephales promelas",62
"Pristigenys alta",62
"Ambloplites cavifrons",60
"Sphyrna lewini",60
"Synagrops bellus",60
"Exoglossum laurae",59
"Hybopsis rubrifrons",59
"Poecilia latipinna",59
"Selene vomer",59
"Opsanus sp.",58
"Aluterus heudelotii",57
"Elops saurus",57
"Gobiosoma bosc",57
"Morone saxatilis",57
"Argyropelecus aculeatus",56
"Etropus crossotus",56
"Menticirrhus americanus",56
"Stenotomus chrysops",56
"Chloroscombrus chrysurus",55
"Elassoma boehlkei",54
"Fundulus olivaceus",54
"Hygophum benoiti",54
"Cyprinella sp. Thinlip Chub",53
"Hygophum taaningi",52
"Paralichthys dentatus",52
"Prionotus carolinus",52
"Benthosema glaciale",51
"Sternoptyx sp.",51
"Chaetodipterus faber",50
"Gonostoma elongatum",50
"Hippocampus erectus",50
"Hoplunnis macrura",50
"Pomoxis annularis",50
"Cyprinella venusta",49
"Diaphus sp.",49
"Etheostoma simoterum",49
"Laemonema barbatulum",49
"Notropis boops",49
"Cynoscion nebulosus",48
"Diogenichthys atlanticus",48
"Hypleurochilus geminatus",48
"Menidia extensa",48
"Salvelinus fontinalis",48
"Sphoeroides sp.",48
"Trachinotus falcatus",48
"Notropis atherinoides",47
"Trichiurus lepturus",47
"Centropristis striata",46
"Prognichthys occidentalis",46
"Seriola sp.",46
"Caranx ruber",45
"Dibranchus atlanticus",45
"Fundulus catenatus",45
"Chauliodus sloani",44
"Hemiramphus brasiliensis",44
"Sternoptyx diaphana",44
"Syngnathus fuscus",44
"Abudefduf saxatilis",43
"Cottus caeruleomentum",43
"Percina aurantiaca",43
"Seriola rivoliana",43
"Syacium sp.",43
"Auxis sp.",42
"Chrosomus erythrogaster",42
"Dactylopterus volitans",42
"Eucinostomus harengulus",42
"Scophthalmus aquosus",42
"Trachinotus carolinus",42
"Chilomycterus schoepfii",41
"Euthynnus alletteratus",41
"Ophichthus puncticeps",41
"Seriola zonata",41
"Sphoeroides maculatus",41
"Tylosurus acus",41
"Etheostoma spectabile",40
"Eucinostomus gula",40
"Larimus fasciatus",40
"Monacanthus ciliatus",40
"Noturus sp. Broadtail Madtom",40
"Syngnathus louisianae",40
"Argyropelecus sp.",39
"Campostoma pullum",39
"Cyclothone acclinidens",39
"Cyclothone microdon",39
"Lutjanus griseus",39
"Menticirrhus saxatilis",39
"Decapterus punctatus",38
"Morone chrysops",38
"Moxostoma ariommum",38
"Opsopoeodus emiliae",38
"Ablennes hians",37
"Carpiodes cyprinus",37
"Echeneis naucrates",37
"Noturus flavus",37
"Sicydium plumieri",37
"Callechelys muraena",36
"Carcharhinus limbatus",36
"Hypsoblennius hentz",36
"Notropis bifrenatus",36
"Scyliorhinus retifer",36
"Carcharhinus brevipinna",35
"Prionotus evolans",35
"Prionotus scitulus",35
"Ameiurus melas",34
"Archosargus probatocephalus",34
"Astroscopus y-graecum",34
"Bagre marinus",34
"Citharichthys spilopterus",34
"Cyprinella whipplei",34
"Decapterus sp.",34
"Etheostoma perlongum",34
"Fundulus waccamensis",34
"Glyptocephalus cynoglossus",34
"Nocomis biguttatus",34
"Sciaenops ocellatus",34
"Seriola dumerili",34
"Bregmaceros sp.",33
"Carpiodes sp. (cf. cyprinus",33
"Ctenogobius boleosoma",33
"Etheostoma inscriptum",33
"Lobotes surinamensis",33
"Pogonias cromis",33
"Scomberomorus maculatus",33
"Urophycis floridana",33
"Vinciguerria nimbaria",33
"Apeltes quadracus",32
"Argyropelecus hemigymnus",32
"Carcharhinus obscurus",32
"Cyclopsetta sp.",32
"Etheostoma fricksium",32
"Mustelus canis",32
"Mycteroperca microlepis",32
"Ophichthus cruentifer",32
"Selar crumenophthalmus",32
"Carcharhinus falciformis",31
"Diaphus mollis",31
"Fenestraja plutonia",31
"Ictalurus furcatus",31
"Maurolicus muelleri",31
"Percina squamata",31
"Rhomboplites aurorubens",31
"Scomberomorus cavalla",31
"Vinciguerria attenuata",31
"Aluterus scriptus",30
"Bregmaceros atlanticus",30
"Carcharhinus plumbeus",30
"Etropus microstomus",30
"Galeocerdo cuvier",30
"Menticirrhus littoralis",30
"Nezumia bairdii",30
"Noturus miurus",30
"Pimephales vigilax",30
"Pollichthys mauli",30
"Priacanthus arenatus",30
"Rachycentron canadum",30
"Centrarchidae hybrid Lepomis auritus x cyanellus?",29
"Centropristis philadelphica",29
"Diodon holocanthus",29
"Etheostoma variatum",29
"Eucinostomus argenteus",29
"Euleptorhamphus velox",29
"Gonostoma atlanticum",29
"Ichthyomyzon bdellium",29
"Myxine glutinosa",29
"Sphyraena barracuda",29
"Ariopsis felis",28
"Coelorinchus caelorhinchus",28
"Moxostoma anisurum",28
"Percina maculata",28
"Percina notogramma",28
"Percina sciera",28
"Thoburnia rhothoeca",28
"Anchoa lyolepis",27
"Ancylopsetta ommata",27
"Congridae",27
"Dasyatis sabina",27
"Gymnothorax sp.",27
"Hirundichthys affinis",27
"Sicydium buscki",27
"Squatina dumeril",27
"Stenotomus caprinus",27
"Syacium papillosum",27
"Uroconger syringinus",27
"Bothus ocellatus",26
"Canthidermis maculata",26
"Caranx latus",26
"Carassius auratus",26
"Carpiodes sp. (cf. velifer",26
"Conger oceanicus",26
"Etheostoma sp. (cf. blennioides--Hiwassee",26
"Etheostoma vulneratum",26
"Gymnothorax moringa",26
"Lucania goodei",26
"Notropis sp. Sawfin Shiner",26
"Peprilus sp.",26
"Percina peltata",26
"Prionotus sp.",26
"Scorpaenidae",26
"Synagrops spinosus",26
"Chasmodes bosquianus",25
"Dysomma anguillare",25
"Hemiramphus balao",25
"Merluccius albidus",25
"Notropis sp.",25
"Paralichthys albigutta",25
"Peprilus alepidotus",25
"Raja eglanteria",25
"Diaphus brachycephalus",24
"Gnathophis sp.",24
"Holacanthus sp.",24
"Lagocephalus laevigatus",24
"Lampanyctus alatus",24
"Urophycis earllii",24
"Achirus lineatus",23
"Agonostomus monticola",23
"Anchoa sp.",23
"Aplodinotus grunniens",23
"Awaous banana",23
"Etheostoma hopkinsi",23
"Gobiomorus dormitor",23
"Hygophum reinhardtii",23
"Letharchus aliculatus",23
"Lythrurus fasciolaris",23
"Moxostoma sp. Sicklefin Redhorse",23
"Narcine brasiliensis",23
"Noturus eleutherus",23
"Phycis chesteri",23
"Pristipomoides sp.",23
"Seriola fasciata",23
"Xyrichtys sp.",23
"Zenopsis conchifer",23
"Ceratoscopelus maderensis",22
"Cheilopogon furcatus",22
"Citharichthys macrops",22
"Elassoma okatie",22
"Etheostoma radiosum",22
"Fundulus confluentus",22
"Gasterosteus aculeatus",22
"Haemulon aurolineatum",22
"Harengula jaguana",22
"Holocentridae",22
"Megalops atlanticus",22
"Melamphaes simus",22
"Nemichthys scolopaceus",22
"Notropis percobromus",22
"Notropis texanus",22
"Oxyporhamphus micropterus",22
"Paraconger sp.",22
"Polyipnus sp.",22
"Rhynchoconger gracilior",22
"Setarches guentheri",22
"Sphyraena guachancho",22
"Centrarchidae hybrid Lepomis hybrid?",21
"Elagatis bipinnulata",21
"Engyophrys senta",21
"Erimystax dissimilis",21
"Gymnothorax saxicola",21
"Gymnura micrura",21
"Heteroconger luteolus",21
"Kyphosus sectatrix",21
"Maurolicus weitzmani",21
"Rhinobatos lentiginosus",21
"Sicydium sp.",21
"Sphyrna tiburo",21
"Thunnus sp.",21
"Centrobranchus nigroocellatus",20
"Cheilopogon exsiliens",20
"Citharichthys sp.",20
"Ctenogobius shufeldti",20
"Etheostoma stigmaeum",20
"Gobionellus oceanicus",20
"Gobiosoma sp.",20
"Haemulon plumierii",20
"Ictiobus bubalus",20
"Lampanyctus sp.",20
"Luxilus zonatus",20
"Malacanthus plumieri",20
"Moxostoma breviceps",20
"Myliobatis freminvillii",20
"Neoconger mucronatus",20
"Notropis nubilus",20
"Noturus exilis",20
"Ahlia egmontis",19
"Alectis ciliaris",19
"Campostoma spadiceum",19
"Cantherhines pullus",19
"Centrarchidae hybrid Lepomis auritus x macrochirus?",19
"Diaphus splendidus",19
"Etheostoma longimanum",19
"Histrio histrio",19
"Hoplostethus mediterraneus",19
"Lutjanus sp.",19
"Nettenchelys pygmaea",19
"Noturus gilberti",19
"Oligoplites saurus",19
"Pagrus pagrus",19
"Prionotus tribulus",19
"Symphurus sp.",19
"Syngnathus floridae",19
"Upeneus parvus",19
"Atherinomorus stipes",18
"Canthidermis sufflamen",18
"Cheilopogon cyanopterus",18
"Cynoscion nothus",18
"Etheostoma acuticeps",18
"Etheostoma camurum",18
"Etheostoma sp. (cf. blennioides--Arkansas-White",18
"Fundulus notatus",18
"Holocentrus adscensionis",18
"Hoplostethus occidentalis",18
"Kyphosus incisor",18
"Lythrurus lirus",18
"Monacanthus tuckeri",18
"Notropis longirostris",18
"Noturus sp.",18
"Sander vitreus",18
"Scopelarchus analis",18
"Sicydium punctatum",18
"Acanthostracion quadricornis",17
"Antigonia capros",17
"Apterichtus ansp",17
"Caulolatilus microps",17
"Citharichthys gymnorhinus",17
"Diplodus holbrookii",17
"Fundulus sp. (cf. diaphanus",17
"Heteropriacanthus cruentatus",17
"Lampadena luminosa",17
"Lepomis sp.",17
"Lepophidium profundorum",17
"Lobianchia gemellarii",17
"Melanostigma atlanticum",17
"Opsanus beta",17
"Pseudopleuronectes americanus",17
"Xyrichtys novacula",17
"Chaunax suttkusi",16
"Diapterus auratus",16
"Lepisosteus platyrhincus",16
"Micropterus coosae",16
"Myctophum selenops",16
"Ophidion marginatum",16
"Psenes cyanophrys",16
"Rhinoptera bonasus",16
"Scorpaena brasiliensis",16
"Selene sp.",16
"Stomias affinis",16
"Tautoga onitis",16
"Trichopsetta sp.",16
"Arctozenus risso kroyeri",15
"Centrarchidae hybrid Lepomis gibbosus x macrochirus?",15
"Centropomus undecimalis",15
"Ceratoscopelus warmingii",15
"Clupea harengus",15
"Diaphus problematicus",15
"Echiodon dawsoni",15
"Halichoeres bivittatus",15
"Hemanthias vivanus",15
"Holacanthus bermudensis",15
"Hoplunnis tenuis",15
"Hygophum sp.",15
"Hyporhamphus meeki",15
"Neomerinthe hemingwayi",15
"Percina oxyrhynchus",15
"Percina rex",15
"Platybelone argalus",15
"Stellifer lanceolatus",15
"Stomias boa ferox",15
"Syngnathus sp.",15
"Trachyscorpia cristulata",15
"Argyropelecus sladeni",14
"Ariomma sp.",14
"Calamus leucosteus",14
"Caranx bartholomaei",14
"Carcharias taurus",14
"Carpiodes carpio",14
"Chaetodon capistratus",14
"Clupeidae",14
"Cypselurus comatus",14
"Dasyatis americana",14
"Diplectrum formosum",14
"Dormitator maculatus",14
"Etheostoma sp.",14
"Etheostoma sp. (cf. blennioides--Ouachita",14
"Fistularia petimba",14
"Halieutichthys aculeatus",14
"Hemiramphus sp.",14
"Howellidae",14
"Hyporthodus niveatus",14
"Lutjanus campechanus",14
"Macroramphosus scolopax",14
"Merluccius bilinearis",14
"Microgobius thalassinus",14
"Negaprion brevirostris",14
"Noturus nocturnus",14
"Percina copelandi",14
"Phenacobius uranops",14
"Rhinichthys osculus",14
"Squalus acanthias",14
"Trachinocephalus myops",14
"Urophycis chuss",14
"Apogonidae",13
"Bolinichthys photothorax",13
"Citharichthys arctifrons",13
"Clinostomus elongatus",13
"Cottus cognatus",13
"Cynoglossidae",13
"Cyprinella sp.",13
"Dasyatis say",13
"Dolicholagus longirostris",13
"Etheostoma atripinne",13
"Gadella imberbis",13
"Galaxias maculatus",13
"Gymnachirus melas",13
"Hippoglossina oblonga",13
"Holocentrus sp.",13
"Hymenocephalus italicus",13
"Hypentelium etowanum",13
"Lutjanus synagris",13
"Malacocephalus occidentalis",13
"Moxostoma carinatum",13
"Ophichthus melanoporus",13
"Pterois volitans",13
"Scorpaena plumieri",13
"Sudis atrox",13
"Thalassoma bifasciatum",13
"Acanthurus sp.",12
"Alosa sp.",12
"Bathycongrus dubius",12
"Catostomidae",12
"Centrarchidae hybrid Lepomis cyanellus x gibbosus?",12
"Cyprinella monacha",12
"Diaphus taaningi",12
"Eleotris perniger",12
"Ichthyococcus ovatus",12
"Labrisomus nuchipinnis",12
"Luxilus zonistius",12
"Margrethia obtusirostra",12
"Monopterus albus",12
"Myctophum asperum",12
"Nezumia aequalis",12
"Nezumia sclerorhynchus",12
"Nezumia sp.",12
"Oncorhynchus tshawytscha",12
"Oreochromis aureus",12
"Peprilus paru",12
"Peristedion greyae",12
"Phenacobius mirabilis",12
"Photostomias guernei",12
"Ptereleotris sp.",12
"Pterygoplichthys pardalis",12
"Ptychocheilus oregonensis",12
"Rhynchoconger sp.",12
"Richardsonius balteatus",12
"Saurida brasiliensis",12
"Scopeloberyx opisthopterus",12
"Serranus notospilus",12
"Sphoeroides nephelus",12
"Aluterus monoceros",11
"Ambloplites ariommus",11
"Anthias nicholsi",11
"Auxis thazard",11
"Bathophilus pawneei",11
"Bellator egretta",11
"Bolinichthys supralateralis",11
"Canthigaster rostrata",11
"Carangidae",11
"Carcharhinus isodon",11
"Centropyge sp.",11
"Diplogrammus pauciradiatus",11
"Exocoetus obtusirostris",11
"Fundulus seminolis",11
"Gobionellus sp.",11
"Gonichthys cocco",11
"Gymnothorax vicinus",11
"Ichthyomyzon sp.",11
"Lophiodes beroe",11
"Lophius americanus",11
"Lythrurus fumeus",11
"Margariscus margarita",11
"Mycteroperca bonaci",11
"Myctophum nitidulum",11
"Nemichthys curvirostris",11
"Nesiarchus nasutus",11
"Oncorhynchus clarkii virginalis",11
"Oreochromis mossambicus",11
"Pontinus rathbuni",11
"Rhinoptera steindachneri",11
"Sardinella aurita",11
"Scorpaena dispar",11
"Stegastes partitus",11
"Synodus poeyi",11
"Acipenser brevirostrum",10
"Albula vulpes",10
"Argyropelecus gigas",10
"Bathygobius soporator",10
"Bryx dunckeri",10
"Carcharhinus leucas",10
"Centrarchidae hybrid Lepomis cyanellus x macrochirus?",10
"Coregonus artedi",10
"Cottus kanawhae",10
"Culaea inconstans",10
"Cyprinidae",10
"Epigonus pandionis",10
"Etheostoma collettei",10
"Etheostoma jessiae",10
"Etheostoma sp. (cf. blennioides--Missouri",10
"Etheostoma swaini",10
"Fistularia tabacaria",10
"Holocentrus rufus",10
"Ictalurus sp.",10
"Katsuwonus pelamis",10
"Leucoraja erinacea",10
"Luxilus pilsbryi",10
"Lythrurus roseipinnis",10
"Lythrypnus phorellus",10
"Mola mola",10
"Monacanthidae",10
"Monacanthus sp.",10
"Myctophum obtusirostre",10
"Myctophum sp.",10
"Notoscopelus resplendens",10
"Notropis shumardi",10
"Ogcocephalus nasutus",10
"Ophidion sp.",10
"Percina phoxocephala",10
"Percina vigil",10
"Pseudomyrophis sp.",10
"Pseudupeneus maculatus",10
"Sander canadensis",10
"Scomber scombrus",10
"Stephanolepis setifer",10
"Anarchias similis",9
"Anchoa cubana",9
"Antennarius ocellatus",9
"Balistidae",9
"Brevoortia smithi",9
"Calamus nodosus",9
"Caulolatilus sp.",9
"Chaetodon ocellatus",9
"Chaetodon sedentarius",9
"Chaetodon sp.",9
"Channa argus",9
"Coryphaena equiselis",9
"Cottus asper",9
"Cyprinidae hybrid Chrosomus oreas x Clinostomus funduloides?",9
"Diaphus garmani",9
"Diplospinus multistriatus",9
"Engraulidae",9
"Enneacanthus sp.",9
"Erimyzon claviformis",9
"Etheostoma crossopterum",9
"Etheostoma maculatum",9
"Eucinostomus lefroyi",9
"Gobiidae",9
"Gobiosoma ginsburgi",9
"Hiodon tergisus",9
"Hybognathus nuchalis",9
"Idiastion kyphos",9
"Istiophorus platypterus",9
"Lepomis humilis",9
