"dwc.scientificName","freq"
"Caulolatilus princeps",120
"Parophrys vetulus",119
"Strongylura exilis",119
"Mugil cephalus",118
"Bodianus diplotaenia",117
"Heterodontus francisci",117
"Myrichthys tigrinus",117
"Sardinops caerulea",117
"Axoclinus storeyae",116
"Cosmocampus arctus",116
"Eptatretus stoutii",116
"Barbulifer pantherinus",114
"Ichthyococcus irregularis",114
"Sebastes chlorostictus",113
"Cirrhitichthys oxycephalus",112
"Acanthemblemaria macrospilus",111
"Ariosoma",111
"Atherinops affinis littoralis",111
"Hippoglossina stomata",111
"Omosudis lowii",111
"Holacanthus passer",110
"Hypsoblennius brevipinnis",110
"Phanerodon vacca",110
"Coralliozetus micropes",108
"Sebastes saxicola",108
"Cypselurus callopterus",107
"Evermannella indica",107
"Haemulon californiensis",107
"Nicholsina denticulata",107
"Sphoeroides annulatus",107
"Xiphister atropurpureus",107
"Idiacanthus",106
"Melamphaes simus",106
"Pseudobathylagus milleri",105
"Ruscarius creaseri",105
"Sebastes paucispinis",104
"Stegastes flavilatus",104
"Citharichthys xanthostigma",103
"Synodus scituliceps",103
"Umbrina roncador",103
"Cheilopogon dorsomacula",102
"Bathylagus pacificus",101
"Cheilopogon furcatus",101
"Oligocottus rubellio",101
"Pontinus",101
"Alepocephalus tenebrosus",100
"Benthosema panamense",100
"Caranx caballus",100
"Clinocottus analis australis",100
"Zalembius rosaceus",100
"Lampanyctus festivus",99
"Lyopsetta exilis",99
"Poromitra megalops",99
"Prognichthys sealei",99
"Stathmonotus sinuscalifornici",99
"Stemonosudis macrura",99
"Diaphus fulgens",98
"Diplospinus multistriatus",98
"Icichthys lockingtoni",98
"Microstoma microstoma",98
"Amphistichus argenteus",97
"Cephalopholis panamensis",97
"Clevelandia ios",97
"Genyonemus lineatus",97
"Sebastes serranoides",97
"Symphurus",97
"Gonostoma ebelingi",96
"Pareques viola",96
"Pleuronichthys verticalis",96
"Protemblemaria bicirris",96
"Sardinops sagax",96
"Bregmaceros atlanticus",95
"Diodon holocanthus",95
"Diplectrum labarum",95
"Naucrates ductor",95
"Elacatinus limbaughi",94
"Myliobatis californica",94
"Pseudupeneus grandisquamis",94
"Halichoeres dispilus",93
"Howella",93
"Lythrypnus zebra",93
"Menticirrhus undulatus",93
"Mycteroperca rosacea",93
"Paranthias colonus",93
"Leptocottus armatus",92
"Rimicola eigenmanni",92
"Sebastes constellatus",92
"Chriolepis zebra",91
"Diaphus schmidti",91
"Gobiesox rhessodon",91
"Johnrandallia nigrirostris",91
"Starksia spinipenis",91
"Lythrypnus pulchellus",90
"Vinciguerria",90
"Eptatretus deani",89
"Gymnothorax mordax",89
"Myripristis leiognathus",89
"Nannobrachium",89
"Nealotus tripes",89
"Scopelogadus mizolepis mizolepis",89
"Stomias colubrinus",89
"Prionace glauca",88
"Ariosoma gilberti",87
"Cheilopogon xenopterus",87
"Chitonotus pugetensis",87
"Eustomias",87
"Hydrolagus colliei",87
"Icelinus quadriseriatus",87
"Sebastes auriculatus",87
"Synodus evermanni",87
"Xystreurys liolepis",87
"Argentina sialis",86
"Synchiropus atrilabiatus",86
"Gymneleotris seminuda",85
"Quietula y-cauda",85
"Gobiosoma chiquita",84
"Hyporhamphus naos",84
"Selar crumenophthalmus",84
"Talismania bifurcata",84
"Antennarius sanguineus",83
"Diaphus luetkeni",83
"Sebastolobus alascanus",83
"Stenobrachius nannochir",83
"Alloclinus holderi",82
"Brachyistius frenatus",82
"Bregmaceros japonicus",82
"Gonostoma gracile",82
"Zaniolepis latipinnis",82
"Sebastes umbrosus",81
"Anisotremus davidsonii",80
"Anoplarchus purpurescens",80
"Bregmaceros macclellandi",80
"Chiasmodon niger",80
"Congridae",80
"Fundulus parvipinnis",80
"Ilypnus gilberti",79
"Melanocetus johnsoni",79
"Pleuronichthys ritteri",79
"Rypticus nigripinnis",79
"Coccorella atrata",78
"Sebastes atrovirens",78
"Balistes polylepis",77
"Evermannella ahlstromi",77
"Myrophis vafer",77
"Odontopyxis trispinosa",77
"Prognichthys gibbifrons",77
"Sargocentron suborbitalis",77
"Sebastes serriceps",77
"Taaningichthys bathyphilus",77
"Calamus brachysomus",76
"Rhinobatos productus",76
"Sebastes carnatus",76
"Sebastes elongatus",76
"Sebastes rastrelliger",76
"Arctozenus risso",75
"Doryrhamphus melanopleura",75
"Entomacrodus chiostictus",75
"Gymnothorax castaneus",75
"Photonectes",75
"Poromitra oscitans",75
"Sebastes rosenblatti",75
"Triphoturus oculeum",75
"Coralliozetus angelicus",74
"Sebastes eos",74
"Sebastes vexillaris",74
"Alepisaurus ferox",73
"Etropus crossotus",73
"Gillichthys mirabilis",73
"Liparis mucosus",73
"Sebastes dallii",73
"Sternoptyx",73
"Triakis semifasciata",73
"Dactylagnus mundus",72
"Hermosilla azurea",72
"Margrethia obtusirostra",72
"Odontostomops normalops",72
"Oxylebius pictus",72
"Cebidichthys violaceus",71
"Pseudogramma thaumasium",71
"Symphurus atramentatus",71
"Xeneretmus latifrons",71
"Zaniolepis frenata",71
"Albula vulpes",70
"Apodichthys sanctaerosae",70
"Caranx caninus",70
"Diaphus brachycephalus",70
"Diaphus rolfbolini",70
"Diplectrum pacificum",70
"Gobiesox pinniger",70
"Idiacanthus panamensis",70
"Protomyctophum thompsoni",70
"Leptocottus armatus australis",69
"Malacosteus niger",69
"Micrometrus aurora",69
"Ophichthus zophochir",69
"Sebastes semicinctus",69
"Eucinostomus currani",68
"Malacoctenus gigas",68
"Melamphaes acanthomus",68
"Orthopristis reddingi",68
"Syacium ovale",68
"Chaenopsis alepidota",67
"Chaetodon humeralis",67
"Hippocampus ingens",67
"Lactoria diaphana",67
"Mugil curema",67
"Sebastes chrysomelas",67
"Sebastes rosaceus",67
"Seriola lalandi",67
"Microspathodon dorsalis",66
"Uropterygius macrocephalus",66
"Bathygobius ramosus",65
"Brama dussumieri",65
"Eucinostomus gracilis",65
"Macropinna microstoma",65
"Anchoa compressa",64
"Brockius striatus",64
"Cirrhitus rivulatus",64
"Cryptopsaras couesi",64
"Labrisomus multiporosus",64
"Lycodes pacificus",64
"Melamphaes laeviceps",64
"Argyropelecus aculeatus",63
"Borostomias panamensis",63
"Parexocoetus brachypterus",63
"Polydactylus opercularis",63
"Syngnathus auliscus",63
"Anisotremus interruptus",62
"Diaphus fragilis",62
"Ekemblemaria myersi",62
"Ophiodon elongatus",62
"Phanerodon furcatus",62
"Atractoscion nobilis",61
"Bathophilus",61
"Cheilotrema saturnum",61
"Electrona risso",61
"Eopsetta jordani",61
"Gobiesox maeandricus",61
"Tigrigobius digueti",61
"Artedius corallinus",60
"Canthidermis maculatus",60
"Decapterus muroadsi",60
