"dwc.preparations","freq"
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample; tissue (95% ethanol) sample",4
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",4
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",4
"tissue (DMSO/EDTA); tissue (DMSO/EDTA); tissue (DMSO/EDTA) sample; tissue (DMSO/EDTA) sample",4
"whole organism (alcohol)",4
"whole organism (formalin-fixed, 70% ethanol)",4
"whole organism (formalin-fixed); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",4
"whole organism (formalin-fixed); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",4
"whole organism (formalin-fixed); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",4
"whole organism (formalin-fixed); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",4
"fin (alcohol); fin (alcohol); fin (alcohol)",3
"fin (alcohol); fin (alcohol); fin (alcohol) sample",3
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample",3
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample",3
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample",3
"fin (alcohol); fin (alcohol); whole organism (ethanol); fin (alcohol); fin (alcohol); fin (alcohol)",3
"fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol); fin (alcohol) sample; fin (alcohol) sample",3
"liver (frozen); liver (frozen); liver (frozen); liver (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); liver (frozen)",3
"muscle (frozen); liver (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); muscle (frozen)",3
"muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",3
"muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); whole organism (formalin-fixed); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",3
"skull; skeleton, postcranial",3
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (formalin-fixed); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",3
"tissue (DMSO/EDTA); tissue (DMSO/EDTA) sample; tissue (DMSO/EDTA) sample",3
"tissue (DMSO/EDTA); tissue (DMSO/EDTA); tissue (DMSO/EDTA); tissue (DMSO/EDTA)",3
"whole organism (dry)",3
"whole organism (ethanol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",3
"whole organism (formalin-fixed); muscle (frozen)",3
"whole organism (formalin-fixed); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",3
"whole organism (formalin-fixed); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",3
"whole organism (formalin-fixed); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",3
"whole organism (formalin-fixed); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",3
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample; fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol) sample; whole organism (formalin-fixed) sample",2
"fin (alcohol); fin (alcohol); whole organism (ethanol); fin (alcohol); fin (alcohol)",2
"fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol) sample; whole organism (formalin-fixed) sample",2
"fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol); fin (alcohol) sample",2
"fin (alcohol); whole organism (alcohol); fin (alcohol) sample",2
"fin (alcohol); whole organism (formalin-fixed); fin (alcohol) sample; whole organism (formalin-fixed) sample",2
"heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen) sample",2
"muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",2
"muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",2
"muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",2
"muscle (frozen); whole organism (formalin-fixed); muscle (frozen)",2
"tissue (95% ethanol); tissue (95% ethanol) sample; tissue (95% ethanol) sample",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample; tissue (95% ethanol) sample",2
