"Family","Count"
"clariidae",13
"diceratiidae",13
"psettodidae",13
"acestrorhynchidae",12
"astroblepidae",12
"cepolidae",12
"congiopodidae",12
"hemiscylliidae",12
"nandidae",12
"parodontidae",12
"anablepidae",11
"aphredoderidae",11
"ariommatidae",11
"bagridae",11
"hiodontidae",11
"lotidae",11
"luvaridae",11
"notacanthidae",11
"pegasidae",11
"polymixiidae",11
"zeidae",11
"aracanidae",10
"argentinoidei",10
"echinorhinidae",10
"percichthyidae",10
"pomatomidae",10
"somniosidae",10
"trichodontidae",10
"blennioidei",9
"creediidae",9
"diretmidae",9
"malacosteidae",9
"oplegnathidae",9
"regalecidae",9
"stegostomatidae",9
"trachinidae",9
"berycidae",8
"cetorhinidae",8
"hoplichthyidae",8
"megalopidae",8
"menidae",8
"osteoglossidae",8
"prochilodontidae",8
"siluridae",8
"sisoridae",8
"centrogenyidae",7
"centrophrynidae",7
"ctenoluciidae",7
"goodeidae",7
"hemiodontidae",7
"kurtidae",7
"rhinochimaeridae",7
"anomalopidae",6
"barbourisiidae",6
"dinopercidae",6
"orectolobidae",6
"setarchidae",6
"zenarchopteridae",6
"ateleopodidae",5
"bathysauridae",5
"centrophoridae",5
"iguanodectidae",5
"lateolabracidae",5
"monocentridae",5
"monodactylidae",5
"noctuidae",5
"salangidae",5
"bathyclupeidae",4
"caracanthidae",4
"cryptacanthodidae",4
"cyttidae",4
"diplomystidae",4
"gonorynchidae",4
"grammicolepididae",4
"lampridae",4
"lophotidae",4
"osphronemidae",4
"pantodontidae",4
"percopsidae",4
"rhamphocottidae",4
"scophthalmidae",4
"stephanoberycidae",4
"umbridae",4
"arapaimidae",3
"brachaeluridae",3
"ceratioidea",3
"citharidae",3
"mobulidae",3
"odacidae",3
"pentacerotidae",3
"polyodontidae",3
"pseudomugilidae",3
"samaridae",3
"scytalinidae",3
"thaumatichthyidae",3
"zaproridae",3
"achiropsettidae",2
"alestidae",2
"aploactinidae",2
"arripidae",2
"bovichthyidae",2
"callorhinchidae",2
"chilodontidae",2
"emmelichthyidae",2
"euclichthyidae",2
"gobionellidae",2
"gyrinocheilidae",2
"isonidae",2
"latimeriidae",2
"leptochariidae",2
"leptoscopidae",2
"megalomycteridae",2
"mochokidae",2
"nemacheilidae",2
"neoceratiidae",2
"ostracoberycidae",2
"polycentridae",2
"pristiophoridae",2
"pseudocarchariidae",2
"rajiformes",2
"retropinnidae",2
"schilbeidae",2
"trachinoidei",2
"triacanthodidae",2
"trichonotidae",2
"vorhisiidae",2
"zygaenidae",2
"acanthuroidei",1
"adrianichthyidae",1
"alestiidae",1
"amarsipidae",1
"amblyopsidae",1
"anabantidae",1
"aplodactylidae",1
"brachionichthyidae",1
"cheimarrichthyidae",1
"chimaeroidei",1
"chironemidae",1
"chlamydoselachidae",1
"claroteidae",1
"dentatherinidae",1
"grammistidae",1
"harpadontidae",1
"heterenchelyidae",1
"heteropneustidae",1
"hypophthalmidae",1
"hypoptychidae",1
"inachidae",1
"malapteruridae",1
"megachasmidae",1
"mirapinnidae",1
"mitsukurinidae",1
"mugiloididae",1
"narkidae",1
"neoceratodontidae",1
"neosebastidae",1
"parabrotulidae",1
"plecoglossidae",1
"polypteridae",1
"proscylliidae",1
"protopteridae",1
"ptilichthyidae",1
"rhincodontidae",1
"scoloplacidae",1
"scombropidae",1
"scopelosauridae",1
"thalasseleotrididae",1
"toxotidae",1
"veliferidae",1
"withiidae",1
