"Family","Count"
"gyrinocheilidae",8
"melamphaidae",8
"odontaspididae",8
"pegasidae",8
"polyprionidae",8
"squatinidae",8
"xiphiidae",8
"anarhichadidae",7
"aulopidae",7
"congiopodidae",7
"hapalogenyidae",7
"odontobutidae",7
"setarchidae",7
"ariommatidae",6
"arripidae",6
"badidae",6
"citharinidae",6
"giganturidae",6
"halosauridae",6
"heterenchelyidae",6
"nandidae",6
"narkidae",6
"perciliidae",6
"percophidae",6
"phosichthyidae",6
"phractolaemidae",6
"amphiliidae",5
"chaudhuriidae",5
"chironemidae",5
"cryptacanthodidae",5
"eleotrididae",5
"flabelligeridae",5
"gyracanthidae",5
"hepsetidae",5
"hexanchidae",5
"mordaciidae",5
"nematistiidae",5
"nematogenyidae",5
"odacidae",5
"oplegnathidae",5
"scombropidae",5
"alepocephalidae",4
"cyprinidae: acheilognathinae",4
"dalatiidae",4
"enoplosidae",4
"gonorynchidae",4
"hoplichthyidae",4
"isonidae",4
"kneriidae",4
"lacantuniidae",4
"lepidosirenidae",4
"macroramphosidae",4
"malapteruridae",4
"monocentridae",4
"orectolobidae",4
"pentacerotidae",4
"phallostethidae",4
"pseudomugilidae",4
"retropinnidae",4
"stegostomatidae",4
"abyssocottidae",3
"alepisauridae",3
"anoplogastridae",3
"anoplopomatidae",3
"aploactinidae",3
"arapaimidae",3
"austroglanididae",3
"berycidae",3
"buccinidae",3
"cetorhinidae",3
"draconettidae",3
"epigonidae",3
"gibberichthyidae",3
"grammicolepididae",3
"gymnarchidae",3
"inermiidae",3
"lateolabracidae",3
"latimeriidae",3
"microstomatidae",3
"pantodontidae",3
"parazenidae",3
"protopteridae",3
"psychrolutidae",3
"trachipteridae",3
"triodontidae",3
"unknown",3
"unknown leptocephalus",3
"valenciidae",3
"alopiidae",2
"aplodactylidae",2
"arhynchobatidae",2
"callanthiidae",2
"centrogenyidae",2
"centrophoridae",2
"ceratiidae",2
"chacidae",2
"chrysomelidae",2
"comephoridae",2
"cottocomephoridae",2
"cranoglanididae",2
"ephippididae",2
"helostomatidae",2
"kryptoglanidae",2
"lampridae",2
"myrocongridae",2
"pholidichthyidae",2
"pristiophoridae",2
"psilorhynchidae",2
"regalecidae",2
"somniosidae",2
"symphysanodontidae",2
"telmatherinidae",2
"trichonotidae",2
"urotrygonidae",2
"anotopteridae",1
"aulorhynchidae",1
"balitoridae: balitorinae",1
"bathyclupeidae",1
"bathymasteridae",1
"ceratodontidae",1
"champsodontidae",1
"chiasmodontidae",1
"chlamydoselachidae",1
"cyttidae",1
"dichistiidae",1
"dinopercidae",1
"erethistidae",1
"geotriidae",1
"harpagiferidae",1
"hesperiidae",1
"hypnidae",1
"ipnopidae",1
"latridae",1
"leptobramidae",1
"leptoscopidae",1
"luvaridae",1
"melanonidae",1
"melanostomiidae",1
"melolonthidae",1
"mobulidae",1
"neoceratodontidae",1
"omosudidae",1
"ostracoberycidae",1
"oxynotidae",1
"passandridae",1
"photichthyidae",1
"platyrhinidae",1
"rhamphocottidae",1
"scopelarchidae",1
"stephanoberycidae",1
"stylephoridae",1
"tephritidae",1
"teraponidae",1
"tetragonuridae",1
"trichodontidae",1
"zygaenidae",1
