"Family","Count"
"urotrygonidae",27
"xiphiidae",27
"draconettidae",26
"pseudochromidae",26
"pseudopimelodidae",26
"scatophagidae",26
"alopiidae",25
"nothobranchiidae",25
"centracanthidae",24
"heterenchelyidae",24
"saccopharyngidae",24
"champsodontidae",23
"hexanchidae",23
"pempheridae",23
"phallostethidae",23
"rachycentridae",23
"tellinidae",23
"callorhinchidae",22
"melanostomiidae",22
"proscylliidae",22
"branchiostomatidae",21
"cetopsidae",21
"ginglymostomatidae",21
"lycaenidae",21
"malapteruridae",21
"arapaimidae",20
"grammistidae",20
"opistognathidae",20
"stephanoberycidae",20
"cepolidae",19
"melanotaeniidae",19
"rhamphichthyidae",19
"triacanthidae",19
"undefinable",19
"lampridae",18
"nandidae",18
"parodontidae",17
"polyprionidae",17
"neoceratodontidae",16
"parabrotulidae",16
"percopsidae",16
"citharinidae",15
"dactyloscopidae",15
"pangasiidae",15
"pegasidae",15
"chanidae",14
"citharidae",14
"goodeidae",14
"polycentridae",14
"arripidae",13
"grammatidae",13
"heteropneustidae",13
"lophotidae",13
"monodactylidae",13
"oxynotidae",13
"tetrarogidae",13
"bathymasteridae",12
"eleotrididae",12
"hepsetidae",12
"aplocheilidae",11
"ateleopodidae",11
"caracanthidae",11
"drepaneidae",11
"emmelichthyidae",11
"stromateoids",11
"anotopteridae",10
"aphyonidae",10
"caulophrynidae",10
"chirocentridae",10
"lampriformes",10
"narkidae",10
"salangidae",10
"astronesthidae",9
"eleginopsidae",9
"lepidosirenidae",9
"nematistiidae",9
"rhamphocottidae",9
"chlamydoselachidae",8
"lepidogalaxiidae",8
"liopropomatidae",8
"odacidae",8
"orectolobidae",8
"pristolepididae",8
"psettodidae",8
"toxotidae",8
"adrianichthyidae",7
"aulopidae",7
"badidae",7
"barbourisiidae",7
"bathydraconidae",7
"callanthiidae",7
"clupeiformes",7
"colocongridae",7
"pantodontidae",7
"trichodontidae",7
"apionidae",6
"cetorhinidae",6
"chilodontidae",6
"galeorhinidae",6
"geotriidae",6
"gerridae",6
"latridae",6
"mirapinnidae",6
"monocentridae",6
"nematogenyidae",6
"pomadasyidae",6
"retropinnidae",6
